posted_on,Negative
2022-01-01,8.93
2022-01-02,6.12
2022-01-03,8.86
2022-01-04,9.3
2022-01-05,7.5
2022-01-06,7.08
2022-01-07,9.09
2022-01-08,7.89
2022-01-09,6.06
2022-01-10,4.76
2022-01-11,10.0
2022-01-12,4.62
2022-01-13,9.26
2022-01-14,4.29
2022-01-15,15.09
2022-01-16,8.89
2022-01-17,16.0
2022-01-18,10.2
2022-01-19,11.32
2022-01-20,3.12
2022-01-21,5.36
2022-01-22,12.5
2022-01-23,5.62
2022-01-24,7.45
2022-01-25,8.97
2022-01-26,4.3
2022-01-27,3.17
2022-01-28,1.72
2022-01-29,8.93
2022-01-30,8.62
2022-01-31,12.77
2022-02-01,9.52
2022-02-02,6.0
2022-02-03,2.33
2022-02-04,8.62
2022-02-05,8.93
2022-02-06,6.67
2022-02-07,0.0
2022-02-08,10.87
2022-02-09,10.87
2022-02-10,11.27
2022-02-11,2.04
2022-02-12,14.29
2022-02-13,5.66
2022-02-14,6.12
2022-02-15,7.25
2022-02-16,9.26
2022-02-17,7.94
2022-02-18,0.0
2022-02-19,3.33
2022-02-20,8.33
2022-02-21,6.35
2022-02-22,3.45
2022-02-23,4.44
2022-02-24,7.69
2022-02-25,3.57
2022-02-26,5.26
2022-02-27,4.76
2022-02-28,6.06
2022-03-01,9.62
2022-03-02,3.77
2022-03-03,6.82
2022-03-04,5.26
2022-03-05,8.0
2022-03-06,2.38
2022-03-07,12.2
2022-03-08,3.39
2022-03-09,2.22
2022-03-10,11.11
2022-03-11,8.11
2022-03-12,6.25
2022-03-13,5.41
2022-03-14,8.11
2022-03-15,7.14
2022-03-16,2.22
2022-03-17,8.33
2022-03-18,2.7
2022-03-19,9.52
2022-03-20,7.32
2022-03-21,13.33
2022-03-22,2.38
2022-03-23,8.11
2022-03-24,14.63
2022-03-25,2.5
2022-03-26,0.0
2022-03-27,2.5
2022-03-28,5.66
2022-03-29,0.0
2022-03-30,2.7
2022-03-31,3.51
2022-04-01,10.87
2022-04-02,6.98
2022-04-03,4.76
2022-04-04,7.14
2022-04-05,17.65
2022-04-06,6.0
2022-04-07,5.26
2022-04-08,4.62
2022-04-09,11.11
2022-04-10,6.06
2022-04-11,8.2
2022-04-12,6.78
2022-04-13,9.76
2022-04-14,4.92
2022-04-15,13.73
2022-04-16,5.56
2022-04-17,9.68
2022-04-18,9.09
2022-04-19,4.55
2022-04-20,5.0
2022-04-21,4.65
2022-04-22,2.17
2022-04-23,6.25
2022-04-24,7.69
2022-04-25,7.14
2022-04-26,0.0
2022-04-27,5.13
2022-04-28,0.0
2022-04-29,2.17
2022-04-30,0.0
2022-05-01,2.22
2022-05-02,2.78
2022-05-03,3.03
2022-05-04,10.26
2022-05-05,6.25
2022-05-06,7.89
2022-05-07,11.43
2022-05-08,18.6
2022-05-09,8.0
2022-05-10,1.85
2022-05-11,2.9
2022-05-12,14.42
2022-05-13,8.0
2022-05-14,0.0
2022-05-15,8.7
2022-05-16,11.76
2022-05-17,8.7
2022-05-18,7.41
2022-05-19,4.88
2022-05-20,9.76
2022-05-21,2.7
2022-05-22,5.13
2022-05-23,8.33
2022-05-24,5.45
2022-05-25,3.12
2022-05-26,8.57
2022-05-27,3.03
2022-05-28,12.12
2022-05-29,11.43
2022-05-30,3.23
2022-05-31,13.79
2022-06-01,4.55
2022-06-02,6.06
2022-06-03,5.26
2022-06-04,4.35
2022-06-05,5.41
2022-06-06,10.64
2022-06-07,3.57
2022-06-08,7.41
2022-06-09,7.89
2022-06-10,5.56
2022-06-11,10.71
2022-06-12,10.34
2022-06-13,6.67
2022-06-14,6.78
2022-06-15,7.29
2022-06-16,6.15
2022-06-17,11.43
2022-06-18,12.31
2022-06-19,8.41
2022-06-20,1.92
2022-06-21,7.84
2022-06-22,2.0
2022-06-23,10.34
2022-06-24,8.57
2022-06-25,7.41
2022-06-26,8.82
2022-06-27,2.44
2022-06-28,4.88
2022-06-29,12.82
2022-06-30,12.5
2022-07-01,2.17
2022-07-02,5.88
2022-07-03,13.89
2022-07-04,9.76
2022-07-05,5.56
2022-07-06,5.88
2022-07-07,4.88
2022-07-08,8.51
2022-07-09,8.33
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,8.77
