posted_on,Neutral
2022-01-01,48.21
2022-01-02,48.98
2022-01-03,46.84
2022-01-04,51.16
2022-01-05,60.0
2022-01-06,48.67
2022-01-07,55.84
2022-01-08,59.21
2022-01-09,48.48
2022-01-10,60.32
2022-01-11,53.33
2022-01-12,44.62
2022-01-13,53.7
2022-01-14,61.43
2022-01-15,50.94
2022-01-16,44.44
2022-01-17,56.0
2022-01-18,61.22
2022-01-19,62.26
2022-01-20,59.38
2022-01-21,51.79
2022-01-22,45.0
2022-01-23,53.93
2022-01-24,50.0
2022-01-25,52.56
2022-01-26,58.06
2022-01-27,63.49
2022-01-28,65.52
2022-01-29,64.29
2022-01-30,50.0
2022-01-31,61.7
2022-02-01,60.32
2022-02-02,60.0
2022-02-03,60.47
2022-02-04,56.9
2022-02-05,57.14
2022-02-06,64.44
2022-02-07,59.38
2022-02-08,47.83
2022-02-09,56.52
2022-02-10,54.93
2022-02-11,63.27
2022-02-12,45.71
2022-02-13,66.04
2022-02-14,61.22
2022-02-15,60.87
2022-02-16,50.0
2022-02-17,53.97
2022-02-18,69.84
2022-02-19,55.0
2022-02-20,56.67
2022-02-21,61.9
2022-02-22,67.24
2022-02-23,55.56
2022-02-24,65.38
2022-02-25,62.5
2022-02-26,60.53
2022-02-27,54.76
2022-02-28,53.03
2022-03-01,75.0
2022-03-02,67.92
2022-03-03,63.64
2022-03-04,63.16
2022-03-05,72.0
2022-03-06,71.43
2022-03-07,58.54
2022-03-08,62.71
2022-03-09,60.0
2022-03-10,59.26
2022-03-11,45.95
2022-03-12,59.38
2022-03-13,72.97
2022-03-14,67.57
2022-03-15,66.67
2022-03-16,60.0
2022-03-17,58.33
2022-03-18,70.27
2022-03-19,66.67
2022-03-20,63.41
2022-03-21,55.56
2022-03-22,61.9
2022-03-23,62.16
2022-03-24,46.34
2022-03-25,72.5
2022-03-26,55.81
2022-03-27,77.5
2022-03-28,66.04
2022-03-29,55.81
2022-03-30,59.46
2022-03-31,59.65
2022-04-01,58.7
2022-04-02,58.14
2022-04-03,66.67
2022-04-04,54.76
2022-04-05,50.98
2022-04-06,46.0
2022-04-07,61.4
2022-04-08,53.85
