posted_on,Positive
2022-01-01,42.86
2022-01-02,44.9
2022-01-03,44.3
2022-01-04,39.53
2022-01-05,32.5
2022-01-06,44.25
2022-01-07,35.06
2022-01-08,32.89
2022-01-09,45.45
2022-01-10,34.92
2022-01-11,36.67
2022-01-12,50.77
2022-01-13,37.04
2022-01-14,34.29
2022-01-15,33.96
2022-01-16,46.67
2022-01-17,28.0
2022-01-18,28.57
2022-01-19,26.42
2022-01-20,37.5
2022-01-21,42.86
2022-01-22,42.5
2022-01-23,40.45
2022-01-24,42.55
2022-01-25,38.46
2022-01-26,37.63
2022-01-27,33.33
2022-01-28,32.76
2022-01-29,26.79
2022-01-30,41.38
2022-01-31,25.53
2022-02-01,30.16
2022-02-02,34.0
2022-02-03,37.21
2022-02-04,34.48
2022-02-05,33.93
2022-02-06,28.89
2022-02-07,40.62
2022-02-08,41.3
2022-02-09,32.61
2022-02-10,33.8
2022-02-11,34.69
2022-02-12,40.0
2022-02-13,28.3
2022-02-14,32.65
2022-02-15,31.88
2022-02-16,40.74
2022-02-17,38.1
2022-02-18,30.16
2022-02-19,41.67
2022-02-20,35.0
2022-02-21,31.75
2022-02-22,29.31
2022-02-23,40.0
2022-02-24,26.92
2022-02-25,33.93
2022-02-26,34.21
2022-02-27,40.48
2022-02-28,40.91
2022-03-01,15.38
2022-03-02,28.3
2022-03-03,29.55
2022-03-04,31.58
2022-03-05,20.0
2022-03-06,26.19
2022-03-07,29.27
2022-03-08,33.9
2022-03-09,37.78
2022-03-10,29.63
2022-03-11,45.95
2022-03-12,34.38
2022-03-13,21.62
2022-03-14,24.32
2022-03-15,26.19
2022-03-16,37.78
2022-03-17,33.33
2022-03-18,27.03
2022-03-19,23.81
2022-03-20,29.27
2022-03-21,31.11
2022-03-22,35.71
2022-03-23,29.73
2022-03-24,39.02
2022-03-25,25.0
2022-03-26,44.19
2022-03-27,20.0
2022-03-28,28.3
2022-03-29,44.19
2022-03-30,37.84
2022-03-31,36.84
2022-04-01,30.43
2022-04-02,34.88
2022-04-03,28.57
2022-04-04,38.1
2022-04-05,31.37
2022-04-06,48.0
2022-04-07,33.33
2022-04-08,41.54
2022-04-09,31.11
2022-04-10,39.39
2022-04-11,34.43
2022-04-12,35.59
2022-04-13,19.51
2022-04-14,34.43
2022-04-15,27.45
2022-04-16,27.78
2022-04-17,32.26
2022-04-18,42.42
2022-04-19,47.73
2022-04-20,42.5
2022-04-21,37.21
2022-04-22,34.78
2022-04-23,34.38
2022-04-24,30.77
2022-04-25,35.71
2022-04-26,45.83
2022-04-27,43.59
2022-04-28,31.71
2022-04-29,34.78
2022-04-30,20.83
2022-05-01,28.89
2022-05-02,41.67
2022-05-03,33.33
2022-05-04,43.59
2022-05-05,35.42
2022-05-06,39.47
2022-05-07,28.57
2022-05-08,34.88
2022-05-09,44.0
2022-05-10,48.15
2022-05-11,36.23
2022-05-12,30.77
2022-05-13,42.67
2022-05-14,39.22
2022-05-15,28.26
2022-05-16,35.29
2022-05-17,34.78
2022-05-18,27.78
2022-05-19,39.02
2022-05-20,39.02
2022-05-21,40.54
2022-05-22,28.21
2022-05-23,44.44
2022-05-24,29.09
2022-05-25,34.38
2022-05-26,48.57
2022-05-27,51.52
2022-05-28,27.27
2022-05-29,40.0
2022-05-30,51.61
2022-05-31,27.59
2022-06-01,45.45
2022-06-02,45.45
2022-06-03,26.32
2022-06-04,43.48
2022-06-05,40.54
2022-06-06,46.81
2022-06-07,32.14
2022-06-08,44.44
2022-06-09,36.84
2022-06-10,38.89
2022-06-11,25.0
2022-06-12,34.48
2022-06-13,47.5
2022-06-14,44.07
2022-06-15,45.83
2022-06-16,38.46
2022-06-17,32.86
2022-06-18,34.62
2022-06-19,39.25
2022-06-20,50.0
2022-06-21,43.14
2022-06-22,30.0
2022-06-23,39.66
2022-06-24,28.57
2022-06-25,44.44
2022-06-26,50.0
2022-06-27,51.22
2022-06-28,34.15
2022-06-29,33.33
2022-06-30,25.0
2022-07-01,28.26
2022-07-02,35.29
2022-07-03,33.33
2022-07-04,34.15
2022-07-05,41.67
2022-07-06,23.53
2022-07-07,43.9
2022-07-08,23.4
2022-07-09,29.17
2022-07-10,37.5
2022-07-11,48.48
2022-07-12,35.09
2022-07-13,24.24
2022-07-14,37.14
2022-07-15,19.51
2022-07-16,37.21
2022-07-17,21.21
2022-07-18,34.38
2022-07-19,23.4
2022-07-20,29.41
