posted_on,positive_count,negative_count,neutral_count,total_posts,total_words,total_comments
2019-01-01,23,3,37,63,8369,989
2019-01-02,35,7,48,90,12730,1150
2019-01-03,44,11,58,113,15544,1784
2019-01-04,31,3,61,95,9832,1388
2019-01-05,17,6,34,57,7617,936
2019-01-06,37,3,40,80,8913,1176
2019-01-07,34,3,30,67,7181,1005
2019-01-08,25,6,34,65,10724,1522
2019-01-09,36,6,52,94,11733,1242
2019-01-10,26,5,36,67,7080,931
2019-01-11,29,6,34,69,7085,651
2019-01-12,23,6,40,69,8089,1067
2019-01-13,25,1,29,55,5761,1196
2019-01-14,36,3,44,83,8589,1617
2019-01-15,27,4,37,68,7556,1359
2019-01-16,36,6,32,74,6875,1279
2019-01-17,22,6,43,71,8777,851
2019-01-18,23,4,37,64,7922,1343
2019-01-19,25,2,30,57,8716,1012
2019-01-20,21,4,41,66,6658,1128
2019-01-21,33,3,49,85,7292,1042
2019-01-22,30,3,35,68,9581,1401
2019-01-23,35,5,28,68,8403,1078
2019-01-24,24,5,35,64,6795,687
2019-01-25,22,5,36,63,8535,967
2019-01-26,22,4,25,51,5992,1530
2019-01-27,20,4,30,54,4120,1234
2019-01-28,17,5,42,64,7683,995
2019-01-29,23,3,32,58,10935,1597
2019-01-30,34,3,36,73,10285,1064
2019-01-31,34,1,32,67,9386,1394
2019-02-01,22,3,30,55,8019,1577
2019-02-02,22,6,32,60,9567,971
2019-02-03,17,2,20,39,10854,806
2019-02-04,19,5,30,54,6958,881
2019-02-05,28,1,29,58,9565,793
2019-02-06,19,3,40,62,7178,644
2019-02-07,23,2,49,74,7105,758
2019-02-08,33,1,41,75,8679,741
2019-02-09,26,3,32,61,6274,1096
2019-02-10,20,7,40,67,6968,1395
2019-02-11,29,3,43,75,10237,1415
2019-02-12,25,6,43,74,9176,1117
2019-02-13,36,4,57,97,15086,909
2019-02-14,32,6,38,76,8335,753
2019-02-15,12,4,32,48,6009,838
2019-02-16,16,2,31,49,4590,557
2019-02-17,23,2,19,44,4775,867
2019-02-18,19,5,36,60,6915,790
2019-02-19,17,5,31,53,5086,900
2019-02-20,28,6,36,70,5442,989
2019-02-21,24,6,34,64,7792,540
2019-02-22,24,4,39,67,7728,1361
2019-02-23,24,4,36,64,6926,867
2019-02-24,20,3,48,71,7421,978
2019-02-25,32,10,25,67,9613,1056
2019-02-26,37,5,47,89,11314,1259
2019-02-27,27,6,45,78,11331,939
2019-02-28,24,4,36,64,6681,1090
2019-03-01,26,4,32,62,7553,1124
2019-03-02,18,4,24,46,4962,744
2019-03-03,26,6,22,54,6278,792
2019-03-04,36,8,35,79,7533,1075
2019-03-05,21,3,33,57,7025,537
2019-03-06,31,3,38,72,8243,1318
2019-03-07,25,4,38,67,6280,1179
2019-03-08,21,2,36,59,7083,1090
2019-03-09,21,5,33,59,6543,868
2019-03-10,28,2,34,64,7243,1033
2019-03-11,22,5,31,58,5657,660
2019-03-12,21,8,43,72,12572,809
2019-03-13,28,3,38,69,9053,1079
2019-03-14,25,6,29,60,8774,942
2019-03-15,17,3,31,51,6312,793
2019-03-16,18,2,29,49,7814,986
2019-03-17,15,3,33,51,5393,1020
2019-03-18,26,3,34,63,9646,955
2019-03-19,23,6,43,72,8863,1419
2019-03-20,16,1,43,60,6992,755
2019-03-21,32,4,37,73,10741,1082
2019-03-22,23,4,37,64,10338,1273
2019-03-23,8,6,32,46,5612,918
2019-03-24,17,5,30,52,5727,871
2019-03-25,20,3,28,51,6357,898
2019-03-26,19,2,43,64,7103,914
2019-03-27,20,6,35,61,7100,1114
2019-03-28,27,1,26,54,5788,915
2019-03-29,21,1,35,57,8043,874
2019-03-30,16,1,24,41,6746,923
2019-03-31,24,3,37,64,4214,815
2019-04-01,35,4,41,80,13497,1158
2019-04-02,51,12,61,124,12283,1617
2019-04-03,54,9,65,128,12475,1534
2019-04-04,43,7,58,108,12656,1735
2019-04-05,32,3,40,75,8844,1503
2019-04-06,20,7,42,69,6342,1096
2019-04-07,25,4,30,59,7763,1027
2019-04-08,34,3,40,77,10732,2092
2019-04-09,35,6,42,83,7136,1274
2019-04-10,33,5,50,88,11022,1428
2019-04-11,39,5,38,82,8044,933
2019-04-12,28,2,35,65,7604,1484
2019-04-13,26,5,28,59,5751,1368
2019-04-14,13,4,35,52,7065,1167
2019-04-15,28,7,36,71,7895,1065
2019-04-16,31,6,38,75,7740,1730
2019-04-17,25,3,40,68,7394,1421
2019-04-18,31,4,46,81,9293,1299
2019-04-19,27,2,31,60,8213,1385
2019-04-20,21,2,36,59,6571,1218
2019-04-21,20,5,26,51,5685,1125
2019-04-22,22,9,23,54,5760,1631
2019-04-23,21,7,38,66,7854,1333
2019-04-24,24,4,51,79,10106,1156
