posted_on,positive_count,negative_count,neutral_count,total_posts,total_words,total_stopwords,total_comments,average_word_length,mean_vader_score
2019-01-01,41,3,19,63,8369,3054,989,5.4884776530371076,0.5561015873015873
2019-01-02,48,9,33,90,12730,4843,1150,5.805391022126431,0.36119666666666667
2019-01-03,56,20,37,113,15544,5994,1784,5.870046743390927,0.2897637168141593
2019-01-04,41,10,44,95,9832,3628,1388,5.753959035940994,0.27875578947368423
2019-01-05,26,8,23,57,7617,2835,936,5.877867089015255,0.26651929824561404
2019-01-06,43,13,24,80,8913,3176,1176,5.741503707785752,0.33462125
2019-01-07,35,4,28,67,7181,2654,1005,5.677632287019823,0.4021910447761194
2019-01-08,32,17,16,65,10724,4333,1522,5.75841304118483,0.2276276923076923
2019-01-09,45,19,30,94,11733,4442,1242,5.816670607868558,0.26081702127659573
2019-01-10,35,15,17,67,7080,2548,931,5.642854412722818,0.2617179104477612
2019-01-11,36,9,24,69,7085,2775,651,5.883376785946471,0.35915797101449276
2019-01-12,38,10,21,69,8089,3162,1067,5.6516069673984966,0.3493608695652174
2019-01-13,27,8,20,55,5761,2064,1196,5.666641777695981,0.33852363636363636
2019-01-14,40,13,30,83,8589,3157,1617,6.113559997516703,0.2824265060240964
2019-01-15,34,10,24,68,7556,2789,1359,5.767243467473926,0.2835044117647059
2019-01-16,44,10,20,74,6875,2505,1279,5.732744426648128,0.41560675675675673
2019-01-17,30,12,29,71,8777,3328,851,5.788387389725597,0.22552112676056338
2019-01-18,35,9,20,64,7922,2509,1343,5.758893774846374,0.3746625
2019-01-19,26,7,24,57,8716,2807,1012,5.7086291424580855,0.2765035087719298
2019-01-20,35,6,25,66,6658,2479,1128,5.607839676435156,0.382339393939394
2019-01-21,39,11,35,85,7292,2727,1042,5.765018822129271,0.31822
2019-01-22,34,6,28,68,9581,3660,1401,5.821733020025178,0.36881470588235293
2019-01-23,28,8,32,68,8403,3183,1078,5.780786393429837,0.27143088235294116
2019-01-24,30,7,27,64,6795,2590,687,5.627284098975606,0.3216265625
2019-01-25,35,9,19,63,8535,3234,967,5.596877208646789,0.34802222222222223
2019-01-26,24,12,15,51,5992,2257,1530,5.836744108813701,0.24789607843137254
2019-01-27,34,5,15,54,4120,1511,1234,5.7192319745963465,0.468862962962963
2019-01-28,36,12,16,64,7683,2868,995,5.765157134105262,0.3551546875
2019-01-29,33,9,16,58,10935,4104,1597,5.770496378579516,0.3660603448275862
2019-01-30,44,6,23,73,10285,3995,1064,5.782892278296255,0.4419219178082192
2019-01-31,32,14,21,67,9386,3434,1394,5.82371536053598,0.29357761194029847
2019-02-01,25,11,19,55,8019,3086,1577,5.826690684222654,0.24209454545454548
2019-02-02,31,12,17,60,9567,3547,971,5.871821318899103,0.31037499999999996
2019-02-03,20,6,13,39,10854,3599,806,5.621661663206354,0.37086153846153846
2019-02-04,23,15,16,54,6958,2670,881,5.938619343569498,0.19057592592592593
2019-02-05,35,7,16,58,9565,3705,793,5.953036761189728,0.4234155172413793
2019-02-06,36,7,19,62,7178,2763,644,5.82490972394405,0.41434516129032256
2019-02-07,38,10,26,74,7105,2647,758,5.597653167834866,0.29531486486486486
2019-02-08,37,13,25,75,8679,3192,741,5.757140221977181,0.286788
2019-02-09,28,9,24,61,6274,2274,1096,5.649473669836555,0.27027213114754095
2019-02-10,36,12,19,67,6968,2561,1395,8.208611165393146,0.36573731343283583
2019-02-11,41,11,23,75,10237,3875,1415,5.733364353227522,0.41135733333333335
2019-02-12,37,17,20,74,9176,3441,1117,5.945871493439132,0.2128756756756757
2019-02-13,42,24,31,97,15086,5835,909,5.711197117411442,0.17921443298969073
