posted_on,positive_count,negative_count,neutral_count,total_posts,total_words,total_comments
2019-01-01,16,3,18,37,2068,750
2019-01-02,21,4,56,81,3005,1502
2019-01-03,26,7,54,87,3850,1192
2019-01-04,19,3,41,63,1805,1293
2019-01-05,30,2,39,71,2634,1053
2019-01-06,23,3,23,49,1862,905
2019-01-07,32,5,48,85,7376,1087
2019-01-08,34,5,42,81,8297,1204
2019-01-09,25,6,35,66,4068,923
2019-01-10,22,6,53,81,1793,1486
2019-01-11,21,1,47,69,4865,1106
2019-01-12,18,1,23,42,1884,674
2019-01-13,23,3,33,59,7362,1003
2019-01-14,34,4,62,100,7706,1176
2019-01-15,23,3,49,75,6023,1986
2019-01-16,26,5,38,69,7057,835
2019-01-17,28,5,41,74,4200,910
2019-01-18,24,7,32,63,3479,1094
2019-01-19,25,2,23,50,3169,593
2019-01-20,10,4,19,33,1853,711
2019-01-21,24,1,40,65,5234,934
2019-01-22,23,4,40,67,4496,1881
2019-01-23,35,3,51,89,4813,1638
2019-01-24,50,29,188,267,5813,1392
2019-01-25,30,5,32,67,4852,884
2019-01-26,8,3,23,34,1024,394
2019-01-27,12,3,20,35,2205,819
2019-01-28,76,0,88,164,4399,1216
2019-01-29,20,2,138,160,3187,705
2019-01-30,28,2,38,68,5965,1041
2019-01-31,28,1,49,78,7306,875
2019-02-01,22,3,30,55,3757,694
2019-02-02,14,2,33,49,3224,545
2019-02-03,12,3,21,36,1693,396
2019-02-04,20,4,31,55,8136,689
2019-02-05,21,2,37,60,3495,722
2019-02-06,26,4,42,72,5502,1038
2019-02-07,42,4,39,85,7206,1017
2019-02-08,12,1,27,40,1925,1100
2019-02-09,13,2,18,33,1954,724
2019-02-10,13,3,23,39,2215,783
2019-02-11,27,2,33,62,3311,806
2019-02-12,15,1,34,50,2762,757
2019-02-13,24,3,38,65,5458,1048
2019-02-14,17,0,31,48,3291,622
2019-02-15,18,3,27,48,4674,887
2019-02-16,12,2,27,41,2578,707
2019-02-17,19,3,22,44,2531,1369
2019-02-18,31,4,48,83,4802,2414
2019-02-19,28,5,62,95,8678,1454
2019-02-20,30,3,51,84,7283,1435
2019-02-21,17,2,39,58,4220,987
2019-02-22,21,3,44,68,2837,976
2019-02-23,13,5,23,41,2423,1625
2019-02-24,17,0,22,39,2047,1617
2019-02-25,16,3,31,50,8373,1436
2019-02-26,14,4,30,48,4364,783
2019-02-27,19,0,37,56,2324,1078
2019-02-28,35,4,34,73,4285,1372
2019-03-01,22,1,40,63,4187,1027
2019-03-02,11,4,15,30,761,572
2019-03-03,9,2,15,26,1858,614
2019-03-04,25,1,33,59,3433,932
2019-03-05,27,3,44,74,6649,918
2019-03-06,26,3,42,71,3922,1009
2019-03-07,19,2,37,58,3258,828
2019-03-08,25,3,31,59,4453,1252
2019-03-09,10,3,20,33,2835,810
2019-03-10,17,2,16,35,6685,485
2019-03-11,15,1,32,48,4307,991
2019-03-12,24,5,37,66,4739,703
2019-03-13,25,3,36,64,3997,822
2019-03-14,28,2,36,66,9177,765
2019-03-15,14,0,30,44,3100,753
2019-03-16,14,3,20,37,2482,576
2019-03-17,15,0,15,30,4917,717
2019-03-18,20,1,29,50,4082,664
2019-03-19,26,2,33,61,4770,1189
2019-03-20,32,2,41,75,4865,707
2019-03-21,15,2,27,44,4988,911
2019-03-22,16,4,32,52,4440,890
2019-03-23,16,2,17,35,933,510
2019-03-24,14,0,19,33,1580,573
2019-03-25,15,1,25,41,1493,676
2019-03-26,20,1,27,48,4541,870
2019-03-27,21,3,34,58,5631,851
2019-03-28,29,4,31,64,3730,823
2019-03-29,19,3,27,49,4081,1081
2019-03-30,7,1,24,32,1703,666
2019-03-31,11,3,20,34,3950,586
2019-04-01,23,5,36,64,3099,1275
2019-04-02,21,4,24,49,4494,2584
2019-04-03,31,3,33,67,4089,2743
2019-04-04,24,4,31,59,4878,1289
2019-04-05,22,4,28,54,2274,1298
2019-04-06,7,1,17,25,832,788
2019-04-07,14,4,13,31,1005,1267
2019-04-08,21,3,22,46,2331,1464
2019-04-09,33,4,34,71,5863,1165
2019-04-10,16,1,34,51,2513,1589
2019-04-11,13,5,29,47,2481,1433
2019-04-12,19,5,17,41,1553,1221
2019-04-13,10,3,20,33,2593,825
2019-04-14,21,0,16,37,2227,813
2019-04-15,18,3,17,38,7660,1045
2019-04-16,19,0,46,65,3262,1080
2019-04-17,23,0,28,51,2946,1794
2019-04-18,20,1,34,55,3773,1229
2019-04-19,11,4,28,43,1510,888
2019-04-20,14,4,15,33,2037,859
2019-04-21,11,5,16,32,1717,653
2019-04-22,16,1,20,37,1775,829
2019-04-23,12,2,26,40,2655,1164
2019-04-24,14,6,33,53,2655,1702
2019-04-25,22,4,36,62,2924,1568
2019-04-26,15,2,24,41,4185,1076
2019-04-27,12,1,25,38,2788,836
2019-04-28,11,3,24,38,2883,664
2019-04-29,20,0,19,39,3450,770
2019-04-30,18,6,40,64,4129,897
2019-05-01,14,3,30,47,4267,848
2019-05-02,25,4,34,63,3309,983
2019-05-03,24,1,47,72,3727,1329
2019-05-04,18,2,18,38,2319,820
2019-05-05,10,3,19,32,915,538
2019-05-06,34,3,26,63,3011,1440
2019-05-07,12,3,27,42,3174,1287
2019-05-08,20,5,34,59,3576,1292
2019-05-09,21,3,27,51,2687,1316
2019-05-10,20,3,29,52,2078,1219
2019-05-11,17,1,24,42,2167,2517
2019-05-12,16,1,24,41,1463,964
2019-05-13,23,7,39,69,2505,2050
2019-05-14,27,3,44,74,4674,2281
2019-05-15,28,6,36,70,5417,4574
2019-05-16,35,2,45,82,5351,2535
2019-05-17,21,6,34,61,3281,1353
2019-05-18,13,0,25,38,2023,968
2019-05-19,27,5,26,58,4586,1192
2019-05-20,15,4,23,42,4375,887
2019-05-21,22,6,46,74,2838,1654
2019-05-22,20,3,44,67,2433,1203
2019-05-23,19,6,43,68,3239,977
2019-05-24,15,6,31,52,1689,965
2019-05-25,13,5,25,43,1783,812
2019-05-26,13,1,20,34,2716,1333
2019-05-27,16,2,24,42,4629,1247
2019-05-28,25,4,27,56,2270,1419
2019-05-29,15,4,34,53,3602,1473
2019-05-30,21,4,35,60,1999,1761
2019-05-31,15,3,30,48,1735,1202
2019-06-01,16,5,19,40,1858,784
2019-06-02,15,3,24,42,1754,779
2019-06-03,17,2,37,56,2363,1130
2019-06-04,19,3,36,58,2729,913
2019-06-05,13,2,30,45,2032,891
2019-06-06,14,3,25,42,1079,892
2019-06-07,8,2,43,53,2603,875
2019-06-08,14,0,28,42,3843,581
2019-06-09,10,0,17,27,1064,728
2019-06-10,19,3,35,57,3510,1344
2019-06-11,15,2,27,44,2708,911
2019-06-12,15,7,34,56,4143,1509
2019-06-13,22,5,37,64,3359,1064
2019-06-14,14,3,30,47,1943,1186
2019-06-15,10,2,20,32,1876,959
2019-06-16,11,0,18,29,477,877
2019-06-17,17,2,26,45,1843,1312
2019-06-18,35,4,42,81,5174,1955
2019-06-19,31,4,34,69,6999,1135
2019-06-20,24,2,28,54,3606,1446
2019-06-21,30,1,35,66,2843,2913
2019-06-22,28,10,23,61,3161,2096
2019-06-23,10,1,31,42,1727,1355
2019-06-24,14,5,46,65,3332,1401
2019-06-25,16,2,41,59,2742,2252
2019-06-26,31,7,45,83,3186,3657
2019-06-27,24,5,39,68,2456,1994
2019-06-28,17,3,24,44,4449,1522
2019-06-29,7,2,15,24,1065,1079
2019-06-30,13,1,18,32,1583,895
2019-07-01,13,2,32,47,2252,1093
2019-07-02,8,3,28,39,2138,1233
2019-07-03,16,3,28,47,2489,1217
2019-07-04,19,1,38,58,2561,800
2019-07-05,9,4,22,35,3367,822
2019-07-06,9,2,16,27,1220,654
2019-07-07,6,4,15,25,1502,766
2019-07-08,12,3,34,49,3302,953
2019-07-09,23,3,24,50,3512,1575
2019-07-10,17,3,32,52,3104,1742
2019-07-11,20,2,28,50,3747,1273
2019-07-12,10,5,26,41,2497,850
2019-07-13,13,3,20,36,746,749
2019-07-14,13,3,24,40,1674,1817
2019-07-15,19,2,43,64,2586,1692
2019-07-16,12,1,35,48,1884,2357
2019-07-17,17,2,35,54,4833,1485
2019-07-18,27,7,33,67,1762,1048
2019-07-19,15,0,22,37,5001,882
2019-07-20,19,5,21,45,1527,1019
2019-07-21,4,1,18,23,834,485
2019-07-22,19,3,28,50,3959,921
2019-07-23,17,5,31,53,4820,1051
2019-07-24,15,2,40,57,3019,977
2019-07-25,18,1,38,57,4288,798
2019-07-26,12,2,27,41,2817,759
2019-07-27,20,2,29,51,1758,628
2019-07-28,10,2,20,32,930,604
2019-07-29,17,3,21,41,4511,947
2019-07-30,14,1,20,35,3572,674
2019-07-31,23,3,31,57,1922,915
2019-08-01,7,2,18,27,678,840
2019-08-02,20,5,22,47,1358,900
2019-08-03,25,1,18,44,2564,543
2019-08-04,17,2,13,32,697,676
2019-08-05,20,4,26,50,1757,1215
2019-08-06,16,2,27,45,3022,1155
2019-08-07,29,1,29,59,2567,1569
2019-08-08,15,2,33,50,4532,1124
2019-08-09,22,2,26,50,1977,1460
2019-08-10,7,2,27,36,1097,618
2019-08-11,7,4,17,28,3782,810
2019-08-12,13,1,35,49,2065,642
2019-08-13,21,2,36,59,2394,835
2019-08-14,19,3,38,60,3734,1720
2019-08-15,23,2,38,63,985,1170
2019-08-16,22,1,25,48,1999,860
2019-08-17,11,3,23,37,1531,789
2019-08-18,20,2,17,39,1709,2958
2019-08-19,38,4,36,78,9948,1055
2019-08-20,33,3,33,69,7233,1414
2019-08-21,23,2,21,46,3694,1998
2019-08-22,16,6,33,55,2198,1144
2019-08-23,27,4,26,57,4155,1236
