posted_on,positive_count,negative_count,neutral_count,total_posts,total_words,total_stopwords,total_comments,average_word_length,mean_vader_score
2019-01-01,11,1,25,37,2068,838,750,6.196415694524111,0.23392162162162164
2019-01-02,19,3,59,81,3005,1137,1502,6.615711336121492,0.19111975308641976
2019-01-03,24,4,59,87,3850,1446,1192,6.966657640265976,0.20958275862068965
2019-01-04,13,2,48,63,1805,675,1293,6.364461658866519,0.2063698412698413
2019-01-05,17,2,52,71,2634,995,1053,6.545904688708524,0.2238323943661972
2019-01-06,15,1,33,49,1862,711,905,6.387683091815317,0.2785285714285714
2019-01-07,21,4,60,85,7376,2646,1087,6.438590751970858,0.19829176470588236
2019-01-08,33,5,43,81,8297,3210,1204,6.465215916649389,0.3049444444444444
2019-01-09,21,4,41,66,4068,1659,923,6.256584924971865,0.2602151515151515
2019-01-10,17,3,61,81,1793,564,1486,6.4111561484278,0.08664938271604938
2019-01-11,17,2,50,69,4865,1981,1106,6.842567553172363,0.22103478260869566
2019-01-12,16,2,24,42,1884,644,674,7.016031075107171,0.27126428571428574
2019-01-13,15,5,39,59,7362,2741,1003,6.487031239482407,0.1547050847457627
2019-01-14,30,6,64,100,7706,2966,1176,6.754438988347199,0.237276
2019-01-15,25,3,47,75,6023,2269,1986,6.634598031550634,0.2651346666666667
2019-01-16,17,4,48,69,7057,2666,835,7.437887322905253,0.18680000000000002
2019-01-17,24,1,49,74,4200,1535,910,6.3917993641539494,0.2922945945945946
2019-01-18,21,2,40,63,3479,1375,1094,7.0652634658219196,0.2943904761904762
2019-01-19,18,0,32,50,3169,1226,593,6.286027768296991,0.335648
2019-01-20,13,0,20,33,1853,707,711,6.192027198679062,0.39672727272727276
2019-01-21,24,7,34,65,5234,2135,934,6.305877119293844,0.2968569230769231
2019-01-22,20,3,44,67,4496,1784,1881,6.609503969825309,0.26164029850746273
2019-01-23,36,5,48,89,4813,1801,1638,6.453541812139972,0.3469415730337079
2019-01-24,31,4,232,267,5813,2030,1392,6.8527085395068665,0.08727303370786517
2019-01-25,25,1,41,67,4852,1911,884,6.504694531364119,0.3460298507462687
2019-01-26,13,0,21,34,1024,317,394,7.413514563055262,0.30313529411764706
2019-01-27,11,1,23,35,2205,944,819,6.772571431968454,0.28529714285714286
2019-01-28,14,5,145,164,4399,1668,1216,6.896291360779351,0.13801219512195123
2019-01-29,21,4,135,160,3187,1119,705,7.513175629961505,0.243356875
2019-01-30,22,4,42,68,5965,2470,1041,6.559942345649544,0.30583823529411763
2019-01-31,31,1,46,78,7306,2789,875,6.52097834765919,0.3827858974358974
2019-02-01,14,2,39,55,3757,1459,694,6.550997232412336,0.26432
2019-02-02,15,2,32,49,3224,1327,545,6.561566046374207,0.2605081632653061
2019-02-03,13,1,22,36,1693,534,396,6.381563073222225,0.31908888888888887
2019-02-04,25,1,29,55,8136,2791,689,6.563865684997707,0.4512
2019-02-05,18,2,40,60,3495,1307,722,6.7517229243225865,0.258455
2019-02-06,33,3,36,72,5502,2325,1038,6.544901171721296,0.3736138888888889
2019-02-07,36,0,49,85,7206,2489,1017,6.709812963921046,0.36585529411764706
2019-02-08,18,1,21,40,1925,721,1100,6.439334851442579,0.3850475
2019-02-09,8,1,24,33,1954,779,724,6.5678183625732744,0.21076969696969697
2019-02-10,14,3,22,39,2215,804,783,6.734962550482275,0.27155641025641025
2019-02-11,18,3,41,62,3311,1198,806,6.443355784542138,0.21369677419354838
2019-02-12,13,2,35,50,2762,1069,757,6.40753502335331,0.23893599999999998
2019-02-13,27,1,37,65,5458,2183,1048,6.456911701868715,0.3801323076923077
2019-02-14,13,5,30,48,3291,1232,622,6.409190476744186,0.18938750000000001
2019-02-15,31,0,17,48,4674,1826,887,6.430020343716741,0.5661625
2019-02-16,11,4,26,41,2578,1018,707,6.523968512333095,0.19735121951219511
2019-02-17,11,1,32,44,2531,988,1369,6.328256135295343,0.24793863636363636
2019-02-18,27,2,54,83,4802,1834,2414,6.507889293113646,0.278366265060241
2019-02-19,35,8,52,95,8678,3559,1454,6.484999055005343,0.28217157894736844
2019-02-20,34,5,45,84,7283,2597,1435,6.484891529415865,0.3133988095238095
2019-02-21,18,3,37,58,4220,1645,987,6.842198691772133,0.27281724137931035
2019-02-22,18,2,48,68,2837,1031,976,7.172143644721056,0.2418529411764706
2019-02-23,12,1,28,41,2423,936,1625,6.376216591446844,0.33996585365853654
2019-02-24,14,2,23,39,2047,780,1617,6.56826684873141,0.26332307692307694
2019-02-25,23,1,26,50,8373,3430,1436,6.369012056614029,0.40182
2019-02-26,15,2,31,48,4364,1587,783,6.796582290534359,0.2639708333333333
2019-02-27,14,7,35,56,2324,850,1078,6.908481256164842,0.13005
2019-02-28,28,2,43,73,4285,1641,1372,6.434412839403433,0.32995479452054793
2019-03-01,23,1,39,63,4187,1712,1027,7.108763667988461,0.33802063492063494
2019-03-02,6,1,23,30,761,291,572,6.457523711014718,0.2194566666666667
2019-03-03,10,0,16,26,1858,733,614,6.274774999263313,0.3429076923076923
2019-03-04,18,1,40,59,3433,1378,932,6.255524143276066,0.29873898305084745
2019-03-05,36,1,37,74,6649,2414,918,6.461158650242342,0.4105635135135135
2019-03-06,31,2,38,71,3922,1316,1009,6.268242595425879,0.35186056338028165
2019-03-07,20,2,36,58,3258,1242,828,6.556540404369033,0.2959568965517242
2019-03-08,21,4,34,59,4453,1606,1252,6.432236007140943,0.2563152542372881
2019-03-09,14,0,19,33,2835,1158,810,6.729653599929965,0.36822727272727274
2019-03-10,17,2,16,35,6685,1739,485,6.414947509469035,0.41461714285714285
2019-03-11,21,2,25,48,4307,1664,991,7.090210391616721,0.31873333333333337
2019-03-12,24,2,40,66,4739,1901,703,6.562895769815052,0.3066121212121212
2019-03-13,28,2,34,64,3997,1552,822,6.609374080000533,0.3387890625
2019-03-14,35,2,29,66,9177,3680,765,6.512202140421234,0.468769696969697
2019-03-15,15,4,25,44,3100,1144,753,6.362030300719994,0.2936636363636364
2019-03-16,11,1,25,37,2482,996,576,6.446911077413296,0.2419
2019-03-17,17,1,12,30,4917,1975,717,6.45874170281714,0.5051066666666667
2019-03-18,23,0,27,50,4082,1679,664,6.385058262248288,0.35126399999999997
2019-03-19,22,4,35,61,4770,1885,1189,6.349844034885918,0.31205409836065573
2019-03-20,23,3,49,75,4865,1906,707,6.585729950952924,0.291644
2019-03-21,23,0,21,44,4988,2065,911,6.528585184062347,0.5191931818181819
2019-03-22,19,0,33,52,4440,1775,890,6.363221316045422,0.3449365384615385
2019-03-23,7,1,27,35,933,305,510,6.703313266639363,0.18706285714285714
2019-03-24,9,3,21,33,1580,591,573,6.815669438326573,0.19762727272727273
2019-03-25,13,2,26,41,1493,559,676,6.341326045792797,0.2832
2019-03-26,18,4,26,48,4541,1759,870,6.544420511344228,0.25375
2019-03-27,22,1,35,58,5631,2151,851,6.5359988992686615,0.33653793103448276
2019-03-28,29,0,35,64,3730,1429,823,6.510893015096111,0.414021875
2019-03-29,18,2,29,49,4081,1682,1081,6.5407926834300625,0.3275938775510204
2019-03-30,10,2,20,32,1703,607,666,6.531831053414558,0.243475
2019-03-31,14,2,18,34,3950,1562,586,6.602906409822002,0.3471764705882353
2019-04-01,18,1,45,64,3099,1190,1275,6.511495354883091,0.2361140625
2019-04-02,19,4,26,49,4494,1598,2584,6.817355466580762,0.2928857142857143
2019-04-03,24,2,41,67,4089,1584,2743,6.518097619973226,0.29105223880597014
2019-04-04,24,1,34,59,4878,1871,1289,6.311528125995415,0.34187457627118645
2019-04-05,13,0,41,54,2274,858,1298,6.486547544376489,0.23080185185185187
2019-04-06,5,1,19,25,832,299,788,6.445787699185862,0.251304
2019-04-07,7,0,24,31,1005,389,1267,6.3435924743610625,0.2686483870967742
2019-04-08,14,3,29,46,2331,917,1464,6.578184130761147,0.30539347826086954
2019-04-09,34,3,34,71,5863,2413,1165,6.390232930168401,0.38874788732394366
2019-04-10,21,1,29,51,2513,910,1589,6.429557062037089,0.3565058823529412
2019-04-11,16,2,29,47,2481,966,1433,6.291564303351109,0.35208085106382975
2019-04-12,13,1,27,41,1553,556,1221,6.322778462349791,0.26781707317073167
2019-04-13,20,2,11,33,2593,1063,825,5.967902491346598,0.43696969696969695
2019-04-14,10,3,24,37,2227,778,813,6.259774906682467,0.18538648648648648
2019-04-15,13,4,21,38,7660,3187,1045,6.219278017218645,0.24510526315789474
2019-04-16,22,1,42,65,3262,1073,1080,7.162169404496178,0.30408153846153846
2019-04-17,19,4,28,51,2946,1210,1794,6.515126797728344,0.2901607843137255
2019-04-18,20,2,33,55,3773,1413,1229,6.4524445723636825,0.3165309090909091
2019-04-19,9,2,32,43,1510,545,888,6.689339837250169,0.18547906976744186
2019-04-20,12,3,18,33,2037,821,859,6.628456031790037,0.2521424242424243
2019-04-21,12,2,18,32,1717,656,653,6.016258990993923,0.2147875
2019-04-22,13,0,24,37,1775,704,829,6.488370981093326,0.31404324324324323
2019-04-23,12,3,25,40,2655,1054,1164,6.05856499011752,0.2871725
2019-04-24,16,1,36,53,2655,1062,1702,6.502193759154642,0.25286792452830187
2019-04-25,16,1,45,62,2924,1128,1568,6.4981992035628675,0.29495967741935486
2019-04-26,17,4,20,41,4185,1776,1076,6.314603021357253,0.2817170731707317
2019-04-27,13,1,24,38,2788,1201,836,6.8418304632441505,0.3373157894736842
2019-04-28,10,5,23,38,2883,901,664,6.5116297644650505,0.1609157894736842
2019-04-29,17,0,22,39,3450,1379,770,6.400881094202895,0.39530000000000004
2019-04-30,19,0,45,64,4129,1608,897,7.003520931166303,0.28263125
2019-05-01,13,5,29,47,4267,1740,848,6.528759902575276,0.21446595744680852
2019-05-02,24,3,36,63,3309,1276,983,6.376427427421253,0.281463492063492
2019-05-03,32,1,39,72,3727,1488,1329,6.604742256223432,0.37935972222222225
2019-05-04,12,3,23,38,2319,909,820,6.14677658385655,0.21252368421052628
2019-05-05,7,0,25,32,915,332,538,8.104224404263945,0.207075
2019-05-06,17,1,45,63,3011,1194,1440,6.4955024648836,0.23465238095238095
2019-05-07,14,0,28,42,3174,1268,1287,6.388974663094178,0.3529857142857143
2019-05-08,16,3,40,59,3576,1416,1292,6.2734028904799715,0.22855932203389828
2019-05-09,20,1,30,51,2687,1001,1316,6.67997031064564,0.3706078431372549
2019-05-10,19,4,29,52,2078,742,1219,6.4858563362790145,0.27181730769230766
2019-05-11,14,2,26,42,2167,885,2517,5.987452213204293,0.27257380952380955
2019-05-12,12,1,28,41,1463,580,964,6.359781491201645,0.2615365853658536
2019-05-13,18,3,48,69,2505,915,2050,6.435221660960921,0.2501115942028985
2019-05-14,21,1,52,74,4674,1826,2281,6.57564155193404,0.3100932432432432
2019-05-15,19,5,46,70,5417,2220,4574,6.245149806388714,0.2413457142857143
2019-05-16,27,2,53,82,5351,2103,2535,6.304429016729918,0.3230682926829268
2019-05-17,20,2,39,61,3281,1242,1353,6.487483962525241,0.29237704918032786
2019-05-18,11,1,26,38,2023,751,968,6.344465973484879,0.21478684210526314
2019-05-19,18,5,35,58,4586,1758,1192,6.453993794111787,0.2694396551724138
2019-05-20,18,3,21,42,4375,1727,887,6.1902665828628605,0.3228714285714286
2019-05-21,25,0,49,74,2838,1082,1654,6.44509071431063,0.2793675675675676
2019-05-22,18,2,47,67,2433,932,1203,6.487312151093391,0.2344776119402985
2019-05-23,21,3,44,68,3239,1208,977,6.357183431930313,0.28605147058823527
2019-05-24,22,2,28,52,1689,563,965,6.025301888422368,0.32426538461538457
2019-05-25,18,7,18,43,1783,685,812,6.271455598610297,0.26088372093023254
2019-05-26,16,3,15,34,2716,1083,1333,5.913333697511316,0.3178970588235294
2019-05-27,19,3,20,42,4629,1835,1247,6.3194676154828455,0.36141428571428574
2019-05-28,18,1,37,56,2270,858,1419,6.466168239250678,0.3041125
2019-05-29,17,6,30,53,3602,1446,1473,6.284304465602145,0.18995849056603772
2019-05-30,16,3,41,60,1999,741,1761,6.413908283237955,0.19501333333333332
2019-05-31,16,0,32,48,1735,645,1202,6.627959997872011,0.2931229166666667
2019-06-01,13,0,27,40,1858,686,784,6.445654850479022,0.3104175
2019-06-02,15,3,24,42,1754,623,779,6.286008075134462,0.29525
2019-06-03,18,2,36,56,2363,955,1130,6.4039492032043706,0.2997107142857143
2019-06-04,22,0,36,58,2729,1019,913,6.4534786625628335,0.32377241379310345
2019-06-05,11,4,30,45,2032,799,891,7.195514724357975,0.1610711111111111
2019-06-06,14,0,28,42,1079,371,892,6.1455038461426845,0.30612142857142854
2019-06-07,13,3,37,53,2603,999,875,6.295435644201239,0.16396037735849056
2019-06-08,11,0,31,42,3843,1389,581,6.401696646613896,0.25934285714285715
2019-06-09,6,0,21,27,1064,337,728,6.383439761732642,0.1578
