date,price
2022-01-01,46319.65
2022-01-02,47816.08
2022-01-03,47387.21
2022-01-04,46531.14
2022-01-05,45938.02
2022-01-06,43647.15
2022-01-07,43216.46
2022-01-08,41527.2
2022-01-09,41756.66
2022-01-10,41862.36
2022-01-11,41869.86
2022-01-12,42777.21
2022-01-13,43981.88
2022-01-14,42608.41
2022-01-15,43120.85
2022-01-16,43226.65
2022-01-17,43119.79
2022-01-18,42298.34
2022-01-19,42395.46
2022-01-20,41749.55
2022-01-21,40707.68
2022-01-22,36508.8
2022-01-23,35180.44
2022-01-24,36306.41
2022-01-25,36774.01
2022-01-26,36988.93
2022-01-27,36870.44
2022-01-28,37276.84
2022-01-29,37852.58
2022-01-30,38232.18
2022-01-31,37983.15
2022-02-01,38555.53
2022-02-02,38835.69
2022-02-03,37000.98
2022-02-04,37101.35
2022-02-05,41673.84
2022-02-06,41493.69
2022-02-07,42475.54
2022-02-08,43910.93
2022-02-09,44184.45
2022-02-10,44383.89
2022-02-11,43628.14
2022-02-12,42445.39
2022-02-13,42254.74
2022-02-14,42247.84
2022-02-15,42634.57
2022-02-16,44574.32
2022-02-17,44063.28
2022-02-18,40562.99
2022-02-19,40073.5
2022-02-20,40192.76
2022-02-21,38514.01
2022-02-22,37059.98
2022-02-23,38337.2
2022-02-24,37372.29
2022-02-25,38363.35
2022-02-26,39316.16
2022-02-27,39090.2
2022-02-28,37803.59
2022-03-01,43225.4
2022-03-02,44459.59
2022-03-03,43980.71
2022-03-04,42491.98
2022-03-05,39200.3
2022-03-06,39463.15
2022-03-07,38442.99
2022-03-08,38076.49
2022-03-09,38732.94
2022-03-10,41986.03
2022-03-11,39468.35
2022-03-12,38775.18
2022-03-13,38903.69
2022-03-14,37852.53
2022-03-15,39669.42
2022-03-16,39331.85
2022-03-17,41165.64
2022-03-18,41001.71
2022-03-19,41837.41
2022-03-20,42201.94
2022-03-21,41283.26
2022-03-22,41061.82
2022-03-23,42401.9
2022-03-24,42802.15
2022-03-25,43936.1
2022-03-26,44331.78
2022-03-27,44510.84
2022-03-28,46715.12
2022-03-29,46994.88
2022-03-30,47459.26
2022-03-31,47063.37
2022-04-01,45528.41
2022-04-02,46270.2
2022-04-03,45842.14
2022-04-04,46434.56
2022-04-05,46622.64
2022-04-06,45635.45
2022-04-07,43198.78
2022-04-08,43515.15
2022-04-09,42315.71
2022-04-10,42796.4
2022-04-11,42274.91
2022-04-12,39603.97
2022-04-13,40205.68
2022-04-14,41205.17
